uid,participant_id,trial_num_target_based,first_entry_index,time_of_first_entry,task_time,number_of_clicks,last_url,pages_visited,Portal,TaskLabel,comments
Windows-Chrome-6037541208831418,51736,14,1036,2025-04-18 23:03:46,8.078,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=51736,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",D,view_finance_info,Visited 1 required pages
Windows-Chrome-8756201336712314,86306,2,1780,2025-04-20 19:15:46,4.004,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=86306,"login-b.html, homepage-a.html, personal-info.html",D,view_personal_info,Visited 1 required pages
Windows-Chrome-8756201336712314,86306,3,1783,2025-04-20 19:16:01,79.097,8,https://cs4249-experiment-setup.vercel.app/homepage-a.html?variant=login-b-home-a&participant_id=86306,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, homepage-a.html, homepage-a.html",D,view_finance_info,Visited 1 required pages
Windows-Chrome-8756201336712314,86306,6,1823,2025-04-20 19:20:40,10.164,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=86306,"login-b.html, homepage-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",B,view_finance_info,Visited 1 required pages
Windows-Chrome-8756201336712314,86306,9,1835,2025-04-20 19:22:20,3.638,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=86306,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A,view_finance_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,2,1539,2025-04-20 11:06:13,27.966,6,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=59009#,"login-b.html, homepage-b.html, homepage-b.html, personal-info.html, personal-info.html, personal-info.html",B,view_personal_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,3,1545,2025-04-20 11:07:01,22.069,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=59009,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html",B,view_finance_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,6,1558,2025-04-20 11:09:47,5.045,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=59009,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A,view_finance_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,8,1566,2025-04-20 11:11:18,5.644,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=59009,"login-b.html, homepage-a.html, personal-info.html",D,view_personal_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,9,1569,2025-04-20 11:11:43,5.207,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=59009,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",D,view_finance_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,10,1573,2025-04-20 11:14:06,39.866,8,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-a-home-b&participant_id=59009,"login-a.html, homepage-b.html, course-registration.html, homepage-b.html, personal-info.html, personal-info.html, contact-details.html, contact-details.html",C,view_personal_info,Visited 1 required pages
Windows-Chrome-899490973888265,59009,11,1581,2025-04-20 11:15:14,6.079,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=59009,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html",C,view_finance_info,Visited 1 required pages
