uid,participant_id,trial_num_target_based,first_entry_index,time_of_first_entry,task_time,number_of_clicks,last_url,pages_visited,variant
Windows-Chrome-6037541208831418,51736,8,984,2025-04-18 22:59:16,10.98,5,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=51736,"login-b.html, homepage-b.html, course-registration.html, view-classes.html",D
Windows-Chrome-6037541208831418,51736,9,989,2025-04-18 22:59:39,14.303,4,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=51736,"login-b.html, homepage-b.html, personal-info.html, contact-details.html",D
Windows-Chrome-6037541208831418,51736,10,993,2025-04-18 23:00:01,4.005,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=51736,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-6037541208831418,51736,11,997,2025-04-18 23:00:26,7.05,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=51736,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-6037541208831418,51736,12,1003,2025-04-18 23:01:11,55.404,10,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=51736,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, addresses.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-6037541208831418,51736,13,1013,2025-04-18 23:02:51,49.448,23,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=51736#,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html",C
Windows-Chrome-6037541208831418,51736,14,1036,2025-04-18 23:03:46,8.078,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=51736,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-8756201336712314,86306,1,1773,2025-04-20 19:14:46,45.731,7,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=86306,"login-b.html, homepage-a.html, academics.html, course-registration.html, view-classes.html, personal-info.html",C
Windows-Chrome-8756201336712314,86306,2,1780,2025-04-20 19:15:46,4.004,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=86306,"login-b.html, homepage-a.html, personal-info.html",C
Windows-Chrome-8756201336712314,86306,3,1783,2025-04-20 19:16:01,79.097,8,https://cs4249-experiment-setup.vercel.app/homepage-a.html?variant=login-b-home-a&participant_id=86306,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-8756201336712314,86306,4,1791,2025-04-20 19:18:15,58.129,13,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=86306,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, addresses.html, financials-b.html, manage-student-finance.html",B
Windows-Chrome-8756201336712314,86306,5,1804,2025-04-20 19:19:46,50.38,19,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=86306,"login-b.html, homepage-b.html, course-registration.html, view-classes.html, personal-info.html, contact-details.html",D
Windows-Chrome-8756201336712314,86306,6,1823,2025-04-20 19:20:40,10.164,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=86306,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-8756201336712314,86306,9,1835,2025-04-20 19:22:20,3.638,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=86306,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
Windows-Chrome-899490973888265,59009,2,1539,2025-04-20 11:06:13,27.966,6,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=59009#,"login-b.html, homepage-b.html, personal-info.html",D
Windows-Chrome-899490973888265,59009,3,1545,2025-04-20 11:07:01,22.069,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=59009,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
Windows-Chrome-899490973888265,59009,6,1558,2025-04-20 11:09:47,5.045,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=59009,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
Windows-Chrome-899490973888265,59009,8,1566,2025-04-20 11:11:18,5.644,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=59009,"login-b.html, homepage-a.html, personal-info.html",C
Windows-Chrome-899490973888265,59009,9,1569,2025-04-20 11:11:43,5.207,4,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=59009,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html",C
Windows-Chrome-899490973888265,59009,10,1573,2025-04-20 11:14:06,39.866,8,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-a-home-b&participant_id=59009,"login-a.html, homepage-b.html, course-registration.html, personal-info.html, contact-details.html",B
Windows-Chrome-899490973888265,59009,11,1581,2025-04-20 11:15:14,6.079,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=59009,"login-a.html, homepage-b.html, financials-b.html, manage-student-finance.html",B
